iter	RMSE
0	11685.18598
1	11412.17572
2	11151.55552
3	10908.52051
4	10683.551
5	10464.5891
6	10260.34955
7	10066.80356
8	9884.986425
9	9719.225035
10	9560.990859
11	9416.04474
12	9277.14536
13	9146.079102
14	9025.061585
15	8911.893925
16	8804.201
17	8703.82027
18	8611.467699
19	8525.632853
20	8447.3421
21	8371.732974
22	8302.742395
23	8236.691524
24	8177.010017
25	8121.379982
26	8070.486683
27	8022.773927
28	7978.325126
29	7937.218445
30	7897.723596
31	7862.503928
32	7828.46692
33	7797.474986
34	7768.463472
35	7741.366502
36	7716.392898
37	7693.318503
38	7672.298194
39	7653.553348
40	7636.09943
41	7620.125508
42	7604.177589
43	7590.457493
44	7576.913848
45	7565.182284
46	7554.105408
47	7543.395675
48	7533.461074
49	7524.878022
50	7516.009326
51	7508.774771
52	7501.239268
53	7494.973522
54	7489.093291
55	7483.867266
56	7479.056765
57	7473.619824
58	7468.591976
59	7464.39745
60	7460.903548
61	7457.526698
62	7454.560977
63	7451.358085
64	7448.407949
65	7445.690711
66	7443.559578
67	7441.598663
68	7439.426278
69	7437.762258
70	7435.388948
71	7433.869319
72	7432.005069
73	7430.713337
74	7429.418042
75	7427.645803
76	7425.962122
77	7424.423139
78	7423.36425
79	7422.10723
80	7421.368775
81	7420.267413
82	7419.664575
83	7418.966386
84	7417.902075
85	7417.429293
86	7417.408895
87	7416.784647
88	7416.209354
89	7415.679178
90	7414.831427
91	7414.160827
92	7413.704686
93	7413.123851
94	7412.455465
95	7411.984597
96	7411.502194
97	7411.039273
98	7410.741163
99	7410.669961
100	7410.160542
101	7410.006866
102	7409.901439
103	7409.702035
104	7409.252972
105	7409.040211
106	7409.039996
107	7408.758737
108	7408.631264
109	7408.510288
110	7408.407677
111	7408.318225
112	7408.235939
113	7408.145955
114	7407.987993
115	7407.890105
116	7407.727303
117	7407.418094
118	7407.297812
119	7407.17981
120	7406.973705
121	7406.766791
122	7406.761082
123	7406.718329
124	7406.597761
125	7406.417948
126	7406.328345
127	7406.245838
128	7406.214948
129	7406.178258
130	7406.171443
131	7406.096851
132	7405.977166
133	7405.948423
134	7405.664536
135	7405.645371
136	7405.629618
137	7405.558442
138	7405.302225
139	7405.296833
140	7405.060363
141	7405.038419
142	7405.034593
143	7405.010005
144	7404.919921
145	7404.901678
146	7404.857289
147	7404.648314
148	7404.4551
149	7404.351423
150	7404.176201
151	7404.160381
152	7404.110421
153	7404.022687
154	7403.939129
155	7403.859722
156	7403.854116
157	7403.847516
158	7403.847462
159	7403.694922
160	7403.653637
161	7403.648511
162	7403.641172
163	7403.52029
164	7403.408535
165	7403.276857
166	7403.2376
167	7403.194394
168	7403.192825
169	7403.157371
170	7403.153135
171	7403.059286
172	7403.003956
173	7403.002471
174	7402.97358
175	7402.958596
176	7402.956587
177	7402.8739
178	7402.797455
179	7402.770018
180	7402.751731
181	7402.750474
182	7402.749126
183	7402.678718
184	7402.641038
185	7402.599706
186	7402.537314
187	7402.440231
188	7402.41903
189	7402.402139
190	7402.401239
191	7402.397168
192	7402.3442
193	7402.295225
194	7402.295206
195	7402.291992
196	7402.278769
197	7402.266784
198	7402.253037
199	7402.252872
200	7402.251396
201	7402.250155
202	7402.241408
203	7402.198898
204	7402.174841
205	7402.174434
206	7402.173425
207	7402.173316
208	7402.092605
209	7402.063171
210	7402.024439
211	7401.988629
212	7401.961773
213	7401.943341
214	7401.909772
215	7401.886402
216	7401.864808
217	7401.844854
218	7401.813707
219	7401.807879
220	7401.743617
221	7401.742453
222	7401.737858
223	7401.731374
224	7401.73091
225	7401.703844
226	7401.678828
227	7401.655708
228	7401.655106
229	7401.598444
230	7401.577659
231	7401.525741
232	7401.507051
233	7401.489775
234	7401.442613
235	7401.428095
236	7401.42763
237	7401.424133
238	7401.38121
239	7401.366163
240	7401.326791
241	7401.323515
242	7401.311922
243	7401.302733
244	7401.292714
245	7401.25834
246	7401.258082
247	7401.249345
248	7401.235607
249	7401.204632
250	7401.175933
251	7401.149341
252	7401.124702
253	7401.101872
