iter	Passed	Remaining
0	141	141842
1	144	72228
2	147	48978
3	149	37220
4	151	30107
5	152	25216
6	153	21735
7	154	19137
8	155	17077
9	156	15459
10	157	14136
11	158	13038
12	159	12096
13	160	11274
14	160	10571
15	162	9963
16	163	9479
17	165	9008
18	165	8567
19	166	8169
20	167	7825
21	168	7496
22	170	7229
23	170	6949
24	172	6711
25	173	6482
26	173	6261
27	174	6052
28	174	5852
29	175	5667
30	175	5497
31	176	5334
32	177	5187
33	177	5046
34	178	4914
35	179	4797
36	179	4675
37	180	4564
38	180	4458
39	181	4359
40	182	4266
41	183	4185
42	184	4100
43	184	4017
44	185	3937
45	186	3860
46	186	3784
47	187	3714
48	187	3645
49	188	3579
50	189	3516
51	189	3453
52	190	3395
53	191	3347
54	191	3296
55	192	3242
56	192	3189
57	193	3141
58	194	3097
59	194	3052
60	195	3008
61	195	2964
62	196	2921
63	196	2879
64	197	2839
65	197	2799
66	198	2759
67	198	2721
68	199	2686
69	199	2651
70	200	2619
71	201	2596
72	202	2569
73	202	2538
74	203	2507
75	205	2493
76	206	2469
77	206	2443
78	207	2415
79	207	2389
80	208	2364
81	209	2339
82	209	2314
83	210	2291
84	211	2278
85	212	2254
86	212	2230
87	213	2209
88	213	2188
89	215	2175
90	215	2155
91	216	2138
92	217	2118
93	217	2099
94	218	2080
95	219	2062
96	219	2043
97	220	2025
98	220	2008
99	221	1990
100	221	1975
101	222	1960
102	223	1945
103	223	1929
104	224	1914
105	225	1903
106	226	1887
107	227	1875
108	227	1860
109	228	1844
110	228	1829
111	228	1814
112	229	1799
113	229	1785
114	230	1772
115	232	1768
116	232	1755
117	233	1744
118	233	1731
119	234	1720
120	235	1712
121	236	1701
122	236	1689
123	237	1680
124	238	1670
125	239	1658
126	242	1664
127	242	1653
128	243	1643
129	244	1638
130	245	1627
131	246	1618
132	246	1610
133	247	1602
134	248	1593
135	250	1590
136	250	1580
137	251	1572
138	252	1564
139	253	1554
140	254	1552
141	255	1543
142	256	1534
143	256	1525
144	257	1518
145	258	1509
146	258	1501
147	259	1493
148	260	1488
149	261	1481
150	262	1473
151	262	1467
152	263	1459
153	264	1452
154	265	1445
155	265	1438
156	266	1432
157	267	1425
158	267	1417
159	268	1409
160	269	1402
161	270	1398
162	271	1392
163	271	1385
164	272	1379
165	273	1374
166	274	1367
167	275	1363
168	275	1356
169	276	1349
170	277	1343
171	277	1336
172	278	1331
173	278	1323
174	279	1317
175	280	1312
176	281	1306
177	281	1302
178	282	1297
179	283	1292
180	285	1293
181	286	1287
182	287	1282
183	288	1277
184	288	1271
185	289	1267
186	290	1262
187	291	1258
188	292	1254
189	293	1249
190	293	1245
191	294	1239
192	295	1234
193	296	1230
194	296	1224
195	298	1223
196	299	1219
197	300	1215
198	300	1211
199	302	1209
200	303	1205
201	303	1199
202	304	1195
203	305	1191
204	305	1185
205	306	1180
206	307	1176
207	309	1179
208	310	1175
209	311	1171
210	312	1166
211	312	1162
212	313	1159
213	314	1155
214	315	1150
215	316	1148
216	317	1144
217	318	1140
218	319	1138
219	319	1133
220	320	1130
221	321	1125
222	322	1121
223	322	1117
224	323	1113
225	324	1109
226	326	1111
227	326	1107
228	328	1105
229	329	1101
230	329	1098
231	330	1093
232	331	1090
233	332	1087
234	332	1083
235	333	1080
236	334	1076
237	336	1077
238	337	1073
239	337	1070
240	338	1066
241	339	1062
242	339	1058
243	340	1054
244	340	1050
245	341	1047
246	342	1042
247	343	1040
248	343	1037
249	346	1038
250	346	1034
251	347	1031
252	348	1028
253	349	1026
254	350	1022
255	350	1018
256	351	1015
257	351	1011
258	352	1008
259	352	1004
260	353	1001
261	354	997
262	356	997
263	356	994
264	357	990
265	358	988
266	358	984
267	359	982
268	360	978
269	360	975
270	361	972
271	363	972
272	363	968
273	364	965
274	364	962
275	366	960
276	367	958
277	367	955
278	368	952
279	369	948
280	369	945
281	370	942
282	370	939
283	371	936
284	372	933
285	372	931
286	373	928
287	374	924
288	374	922
289	376	922
290	377	920
291	378	917
292	379	914
293	379	911
294	380	908
295	381	906
296	381	903
297	382	900
298	382	897
299	383	895
300	384	893
301	385	890
302	386	889
303	387	887
304	388	884
305	388	882
306	389	879
307	390	876
308	390	873
309	391	870
310	391	868
311	392	865
312	393	863
313	394	860
314	394	858
315	395	855
316	396	854
317	397	853
318	398	850
319	399	848
320	399	845
321	400	843
322	401	840
323	401	838
324	402	835
325	422	874
326	423	871
327	424	868
328	425	867
329	427	868
330	429	867
331	429	864
332	430	862
333	430	859
334	432	858
335	432	855
336	433	853
337	434	850
338	434	847
339	435	845
340	436	842
341	436	840
342	451	864
343	452	862
344	453	860
345	454	859
346	455	857
347	456	855
348	457	853
349	458	850
350	458	848
351	459	845
352	460	844
353	461	841
354	461	839
355	462	836
356	463	833
357	463	831
358	464	830
359	465	827
360	466	825
361	466	822
362	467	820
363	468	817
364	468	815
365	469	812
366	470	811
367	470	808
368	471	806
369	471	803
370	472	801
371	473	798
372	474	797
373	475	795
374	475	793
375	476	791
376	477	788
377	477	786
378	478	784
379	479	782
380	480	779
381	480	777
382	481	775
383	481	772
384	482	770
385	482	768
386	483	765
387	485	765
388	485	763
389	486	761
390	487	759
391	488	756
392	488	754
393	489	752
394	490	750
395	490	748
396	491	746
397	491	743
398	492	741
399	492	739
400	493	737
401	494	736
402	495	733
403	496	732
404	496	730
405	497	728
406	498	726
407	498	724
408	499	721
409	500	720
410	501	717
411	501	715
412	502	713
413	502	711
414	503	709
415	504	708
416	505	706
417	506	704
418	506	702
419	507	700
420	507	698
421	508	696
422	509	694
423	509	692
424	510	690
425	510	688
426	511	686
427	512	684
428	512	682
429	514	682
430	515	680
431	516	678
432	516	676
433	517	674
434	518	673
435	518	671
436	519	669
437	520	667
438	520	665
439	521	663
440	522	661
441	522	659
442	523	657
443	523	655
444	525	655
445	526	653
446	527	652
447	528	650
448	528	649
449	529	647
450	530	645
451	531	644
452	532	642
453	532	640
454	533	638
455	533	636
456	534	634
457	534	633
458	535	631
459	537	630
460	537	628
461	538	626
462	538	625
463	539	623
464	540	621
465	541	620
466	541	618
467	542	616
468	542	614
469	543	612
470	543	610
471	544	609
472	546	608
473	547	607
474	548	605
475	548	604
476	549	602
477	550	600
478	550	599
479	551	597
480	551	595
481	552	593
482	552	591
483	553	590
484	554	588
485	554	586
486	555	584
487	556	584
488	557	582
489	558	581
490	559	579
491	559	577
492	560	576
493	561	574
494	562	573
495	563	572
496	563	570
497	564	568
498	565	567
499	567	567
500	568	566
501	569	565
502	570	564
503	571	562
504	572	561
505	573	559
506	573	558
507	574	556
508	575	554
509	575	553
510	576	552
511	577	550
512	578	549
513	579	547
514	579	546
515	580	544
516	581	542
517	582	541
518	582	539
519	583	538
520	583	536
521	584	535
522	584	533
523	585	531
524	586	530
525	587	528
526	587	527
527	588	526
528	589	524
529	589	523
530	590	521
531	591	520
532	592	518
533	592	517
534	593	515
535	593	513
536	594	512
537	594	510
538	595	509
539	595	507
540	597	507
541	598	505
542	599	504
543	599	502
544	600	501
545	601	499
546	601	498
547	602	496
548	602	495
549	603	493
550	604	492
551	604	490
552	605	489
553	605	487
554	606	486
555	607	485
556	608	483
557	609	482
558	609	480
559	610	479
560	610	478
561	611	476
562	612	475
563	612	473
564	613	472
565	613	470
566	614	469
567	614	467
568	615	466
569	616	464
570	616	463
571	618	462
572	619	461
573	619	460
574	620	458
575	621	457
576	621	455
577	622	454
578	623	452
579	623	451
580	624	450
581	624	448
582	625	447
583	625	445
584	626	444
585	626	442
586	629	442
587	630	441
588	631	440
589	631	439
590	632	437
591	633	436
592	633	435
593	634	433
594	635	432
595	635	430
596	636	429
597	636	427
598	637	426
599	637	425
600	638	423
601	639	422
602	640	421
603	641	420
604	641	418
605	642	417
606	642	416
607	643	414
608	644	413
609	644	412
610	645	410
611	645	409
612	646	408
613	647	406
614	647	405
615	648	404
616	648	402
617	650	402
618	651	401
619	652	399
620	652	398
621	653	397
622	654	395
623	654	394
624	655	393
625	655	391
626	656	390
627	657	389
628	657	387
629	658	386
630	658	385
631	659	383
632	659	382
633	660	381
634	661	380
635	662	379
636	663	377
637	663	376
638	664	375
639	665	374
640	665	372
641	666	371
642	666	370
643	667	368
644	667	367
645	668	366
646	669	365
647	669	363
648	670	362
649	671	361
650	672	360
651	673	359
652	673	357
653	674	356
654	675	355
655	675	354
656	676	353
657	676	351
658	677	350
659	678	349
660	678	348
661	679	346
662	679	345
663	680	344
664	680	342
665	681	341
666	682	340
667	683	339
668	683	338
669	684	337
670	685	335
671	685	334
672	686	333
673	687	332
674	687	331
675	688	329
676	688	328
677	689	327
678	689	326
679	690	324
680	690	323
681	691	322
682	693	321
683	693	320
684	694	319
685	695	318
686	695	316
687	696	315
688	696	314
689	697	313
690	698	312
691	698	310
692	699	309
693	699	308
694	700	307
695	700	306
696	701	304
697	702	303
698	703	302
699	704	301
700	704	300
701	705	299
702	706	298
703	706	297
704	707	296
705	708	294
706	708	293
707	709	292
708	709	291
709	710	290
710	711	289
711	711	287
712	712	286
713	712	285
714	713	284
715	714	283
716	715	282
717	715	281
718	716	279
719	717	278
720	717	277
721	718	276
722	718	275
723	719	274
724	719	273
725	720	271
726	721	270
727	721	269
728	722	268
729	724	267
730	725	266
731	726	265
732	726	264
733	728	263
734	728	262
735	729	261
736	729	260
737	730	259
738	730	258
739	731	257
740	732	255
741	732	254
742	733	253
743	734	252
744	735	251
745	736	250
746	737	249
747	737	248
748	738	247
749	739	246
750	739	245
751	740	244
752	740	243
753	741	241
754	741	240
755	742	239
756	743	238
757	743	237
758	744	236
759	744	235
760	745	234
761	746	233
762	747	232
763	747	230
764	748	229
765	748	228
766	749	227
767	750	226
768	750	225
769	751	224
770	751	223
771	752	222
772	752	221
773	753	219
774	753	218
775	754	217
776	755	216
777	756	215
778	757	214
779	757	213
780	758	212
781	758	211
782	759	210
783	760	209
784	760	208
785	761	207
786	762	206
787	762	205
788	763	204
789	763	202
790	764	201
791	764	200
792	765	199
793	766	198
794	767	197
795	767	196
796	768	195
797	769	194
798	769	193
799	770	192
800	770	191
801	771	190
802	771	189
803	772	188
804	773	187
805	773	186
806	774	185
807	774	184
808	776	183
809	777	182
810	777	181
811	778	180
812	778	179
813	779	178
814	780	177
815	781	176
816	781	175
817	782	174
818	782	172
819	783	171
820	783	170
821	784	169
822	785	168
823	785	167
824	786	166
825	787	165
826	788	164
827	788	163
828	789	162
829	790	161
830	791	160
831	791	159
832	792	158
833	792	157
834	793	156
835	794	155
836	794	154
837	795	153
838	795	152
839	796	151
840	798	150
841	799	149
842	799	148
843	800	147
844	801	146
845	801	145
846	802	144
847	803	143
848	803	142
849	804	141
850	804	140
851	805	139
852	805	138
853	806	137
854	807	136
855	807	135
856	808	134
857	809	133
858	809	132
859	810	131
860	811	130
861	811	129
862	812	128
863	813	127
864	813	126
865	814	126
866	814	125
867	815	124
868	815	123
869	816	122
870	817	121
871	817	120
872	818	119
873	819	118
874	820	117
875	820	116
876	821	115
877	822	114
878	823	113
879	823	112
880	824	111
881	825	110
882	825	109
883	826	108
884	826	107
885	827	106
886	828	105
887	828	104
888	829	103
889	849	105
890	850	104
891	851	103
892	852	102
893	853	101
894	854	100
895	866	100
896	867	99
897	868	98
898	868	97
899	869	96
900	870	95
901	871	94
902	871	93
903	872	92
904	873	91
905	873	90
906	874	89
907	875	88
908	875	87
909	876	86
910	877	85
911	877	84
912	878	83
913	879	82
914	880	81
915	881	80
916	882	79
917	882	78
918	883	77
919	884	76
920	884	75
921	885	74
922	886	73
923	886	72
924	888	72
925	890	71
926	890	70
927	891	69
928	892	68
929	893	67
930	893	66
931	894	65
932	895	64
933	896	63
934	896	62
935	897	61
936	898	60
937	899	59
938	900	58
939	900	57
940	901	56
941	902	55
942	902	54
943	903	53
944	904	52
945	904	51
946	905	50
947	906	49
948	906	48
949	907	47
950	908	46
951	909	45
952	910	44
953	910	43
954	911	42
955	912	41
956	912	41
957	913	40
958	914	39
959	914	38
960	915	37
961	916	36
962	918	35
963	919	34
964	920	33
965	921	32
966	922	31
967	923	30
968	923	29
969	924	28
970	925	27
971	925	26
972	926	25
973	927	24
974	928	23
975	929	22
976	930	21
977	931	20
978	932	20
979	933	19
980	934	18
981	934	17
982	935	16
983	936	15
984	936	14
985	937	13
986	938	12
987	939	11
988	940	10
989	941	9
990	941	8
991	942	7
992	943	6
993	943	5
994	944	4
995	945	3
996	945	2
997	946	1
998	947	0
999	948	0
