iter	RMSE
0	776.7097243
1	652.7872334
2	521.092075
3	452.1113953
4	410.6007033
5	375.1272689
6	345.3705817
7	334.3615753
8	326.4193981
9	320.7029987
10	313.4202457
11	304.0279363
12	300.766529
13	297.3580308
14	287.3355358
15	284.1412753
16	281.0257726
17	279.0535743
18	276.0045623
19	273.1127677
20	270.6186901
21	268.9804753
22	266.5096075
23	264.3270529
24	262.8533335
25	260.7761541
26	258.508559
27	257.000094
28	255.3074628
29	254.0611463
30	251.2984032
31	250.2010407
32	248.3301024
33	246.9275595
34	245.8740388
35	244.2478685
36	243.3126436
37	242.4541111
38	241.1518611
39	240.271109
40	239.2649391
41	238.464522
42	237.4069867
43	236.784551
44	236.206048
45	235.5337936
46	234.516119
47	233.8122813
48	233.3310518
49	232.9188805
50	232.4366057
51	231.8960966
52	231.6205585
53	230.592413
54	229.8651035
55	229.5445192
56	228.9439299
57	228.7274858
58	228.1143049
59	227.7563697
60	227.1487194
61	226.4591096
62	225.7271381
63	225.1579304
64	224.5373251
65	224.3151561
66	223.9802965
67	223.5730971
68	223.2469667
69	222.8021055
70	222.1405924
71	221.6642118
72	221.2652005
73	220.9500242
74	220.7690104
75	220.5549744
76	219.5641282
77	219.1118431
78	218.874315
79	218.3336597
80	218.0307148
81	217.5194766
82	217.1367289
83	216.7006036
84	216.0728828
85	215.7305675
86	215.4854221
87	215.2838997
88	215.1825531
89	214.9741619
90	214.6532644
91	214.5850214
92	214.2436839
93	213.914896
94	213.5145022
95	213.2518403
96	212.9590903
97	212.6413848
98	212.404723
99	212.2387225
