iter	Passed	Remaining
0	149	14794
1	164	8045
2	179	5813
3	196	4712
4	207	3939
5	217	3402
6	231	3072
7	241	2782
8	248	2509
9	258	2322
10	265	2149
11	275	2018
12	281	1883
13	291	1793
14	301	1705
15	307	1615
16	317	1552
17	324	1479
18	334	1425
19	340	1362
20	351	1322
21	356	1265
22	367	1228
23	373	1181
24	379	1139
25	385	1095
26	390	1055
27	397	1021
28	402	985
29	409	956
30	415	924
31	421	894
32	427	868
33	433	841
34	440	817
35	445	791
36	452	769
37	459	749
38	463	725
39	470	705
40	475	684
41	479	662
42	488	647
43	493	627
44	503	615
45	509	598
46	517	583
47	529	573
48	536	558
49	546	546
50	556	534
51	565	521
52	574	509
53	582	496
54	591	483
55	599	470
56	609	459
57	616	446
58	626	435
59	632	421
60	643	411
61	648	397
62	659	387
63	668	375
64	676	364
65	684	352
66	693	341
67	703	330
68	708	318
69	719	308
70	725	296
71	735	286
72	741	274
73	751	264
74	757	252
75	767	242
76	772	230
77	786	221
78	798	212
79	808	202
80	826	193
81	833	182
82	844	172
83	851	162
84	861	152
85	870	141
86	879	131
87	891	121
88	897	110
89	908	100
90	917	90
91	932	81
92	941	70
93	951	60
94	957	50
95	969	40
96	995	30
97	1010	20
98	1025	10
99	1045	0
