iter	MultiClass
0	1.430713876
1	1.065010919
2	0.8672596564
3	0.7117051073
4	0.6363521632
5	0.5581984366
6	0.5070194135
7	0.4589988542
8	0.4270370212
9	0.3959494879
10	0.3674312888
11	0.3421192365
12	0.3208679642
13	0.3016117899
14	0.2904509432
15	0.2765036406
16	0.2673874101
17	0.2594287476
18	0.2534564249
19	0.2405850038
20	0.2353766436
21	0.2287058557
22	0.2253804983
23	0.2182317192
24	0.2176544151
25	0.2102421653
26	0.2064090494
27	0.2041492932
28	0.2011979559
29	0.1998676536
30	0.1988866075
31	0.1973971924
32	0.1948579924
33	0.1916762915
34	0.1856836612
35	0.1849663869
36	0.183717231
37	0.1811980277
38	0.1807934339
39	0.1788199799
40	0.1779757733
41	0.1773078875
42	0.1769506905
43	0.1758540438
44	0.1741338568
45	0.1732542565
46	0.1728589209
47	0.1708652109
48	0.1698277033
49	0.1686747363
50	0.1680644123
51	0.1673883039
52	0.165125625
53	0.1645597207
54	0.164010281
55	0.1630823797
56	0.1623343134
57	0.1610087048
58	0.1602995141
59	0.1596096766
60	0.1591458042
61	0.1578675619
62	0.1575932636
63	0.1571772898
64	0.1562505561
65	0.1550122033
66	0.1543241083
67	0.1536760253
68	0.1520734045
69	0.1512120325
70	0.150578692
71	0.1499326014
72	0.1488548491
73	0.1486345469
74	0.1482281795
75	0.1478873306
76	0.1473957262
77	0.1468213577
78	0.1459082664
79	0.1456218522
80	0.1454685749
81	0.1451617676
82	0.1446305461
83	0.1439502102
84	0.1437338495
85	0.1433558338
86	0.1420857823
87	0.1417115549
88	0.1411393336
89	0.1409774707
90	0.1402475294
91	0.1398425844
92	0.1394071991
93	0.1392390796
94	0.1380600427
95	0.1377697852
96	0.1373205214
97	0.1369767264
98	0.1368060895
99	0.1364848968
