iter	Passed	Remaining
0	6143	608202
1	10778	528126
2	14717	475858
3	18740	449762
4	22761	432477
5	26755	419163
6	30750	408540
7	34741	399522
8	38761	391921
9	42744	384704
10	46718	377998
11	50747	372151
12	54761	366480
13	59119	363164
14	63086	357488
15	67030	351911
16	70948	346396
17	74913	341272
18	78784	335872
19	82742	330970
20	86696	326144
21	90652	321403
22	94555	316556
23	98512	311955
24	102364	307094
25	106329	302629
26	110277	298157
27	114164	293565
28	118121	289194
29	121950	284550
30	125803	280015
31	129595	275389
32	133428	270901
33	137279	266483
34	141149	262135
35	144939	257671
36	148786	253339
37	152660	249077
38	156451	244705
39	160262	240393
40	164091	236131
41	167890	231848
42	171669	227561
43	175516	223384
44	179330	219181
45	183199	215060
46	187009	210883
47	190876	206782
48	194657	202603
49	198516	198516
50	202300	194366
51	206116	190261
52	209552	185829
53	213178	181596
54	216955	177509
55	220741	173440
56	224574	169416
57	228395	165389
58	232194	161355
59	236028	157352
60	239852	153348
61	243663	149342
62	247449	145327
63	251269	141339
64	255103	137363
65	258901	133373
66	262762	129420
67	266625	125470
68	270480	121520
69	274326	117568
70	278171	113619
71	282032	109679
72	285893	105741
73	289692	101783
74	293504	97834
75	297317	93889
76	301148	89953
77	304965	86015
78	308871	82105
79	312678	78169
80	316512	74243
81	320313	70312
82	324170	66396
83	328021	62480
84	331851	58561
85	335669	54643
86	339594	50743
87	343422	46830
88	347256	42919
89	351123	39013
90	354986	35108
91	358816	31201
92	362660	27297
93	366507	23394
94	370370	19493
95	374218	15592
96	378029	11691
97	381866	7793
98	385735	3896
99	389571	0
