iter	Passed	Remaining
0	38	37973
1	82	41159
2	121	40531
3	156	38921
4	191	38155
5	229	38096
6	269	38174
7	305	37896
8	342	37728
9	378	37448
10	411	37003
11	444	36561
12	476	36211
13	509	35852
14	542	35613
15	574	35354
16	607	35149
17	641	34980
18	672	34722
19	706	34608
20	737	34376
21	767	34133
22	799	33975
23	831	33799
24	861	33595
25	895	33547
26	930	33529
27	974	33814
28	1027	34387
29	1093	35346
30	1160	36261
31	1211	36650
32	1264	37058
33	1315	37378
34	1375	37936
35	1439	38559
36	1505	39179
37	1559	39486
38	1598	39396
39	1642	39431
40	1699	39744
41	1745	39803
42	1793	39906
43	1844	40071
44	1886	40041
45	1927	39969
46	1967	39903
47	2015	39966
48	2050	39803
49	2093	39781
50	2132	39683
51	2176	39673
52	2223	39723
53	2262	39640
54	2300	39532
55	2334	39353
56	2375	39296
57	2418	39287
58	2459	39230
59	2496	39105
60	2538	39076
61	2578	39016
62	2623	39020
63	2667	39008
64	2707	38943
65	2750	38917
66	2795	38933
67	2843	38975
68	2893	39044
69	2936	39013
70	2983	39033
71	3029	39043
72	3077	39080
73	3125	39114
74	3161	38997
75	3202	38941
76	3240	38842
77	3275	38715
78	3308	38565
79	3343	38447
80	3381	38363
81	3418	38265
82	3454	38167
83	3499	38162
84	3538	38095
85	3581	38066
86	3623	38022
87	3664	37973
88	3702	37896
89	3739	37811
90	3776	37722
91	3810	37610
92	3847	37521
93	3882	37419
94	3919	37341
95	3967	37364
96	4014	37368
97	4059	37363
98	4107	37382
99	4157	37420
100	4198	37373
101	4244	37366
102	4280	37275
103	4315	37178
104	4362	37181
105	4404	37144
106	4438	37040
107	4483	37027
108	4521	36958
109	4556	36865
110	4590	36764
111	4622	36651
112	4662	36596
113	4696	36497
114	4727	36384
115	4760	36275
116	4793	36179
117	4825	36067
118	4854	35935
119	4890	35863
120	4928	35804
121	4973	35796
122	5012	35741
123	5057	35728
124	5092	35650
125	5144	35686
126	5189	35669
127	5228	35621
128	5262	35533
129	5298	35461
130	5328	35344
131	5357	35229
132	5395	35172
133	5427	35078
134	5460	34986
135	5501	34952
136	5534	34862
137	5566	34771
138	5611	34758
139	5648	34697
140	5689	34659
141	5720	34564
142	5758	34512
143	5792	34433
144	5822	34333
145	5860	34277
146	5896	34218
147	5942	34210
148	6009	34323
149	6054	34308
150	6099	34297
151	6133	34217
152	6173	34174
153	6208	34106
154	6242	34031
155	6281	33985
156	6321	33943
157	6367	33935
158	6407	33891
159	6454	33885
160	6498	33864
161	6540	33834
162	6574	33762
163	6618	33736
164	6651	33661
165	6696	33644
166	6735	33597
167	6767	33515
168	6812	33499
169	6846	33426
170	6882	33365
171	6933	33378
172	6976	33350
173	7019	33322
174	7061	33291
175	7108	33281
176	7147	33233
177	7187	33191
178	7222	33127
179	7255	33053
180	7290	32988
181	7329	32944
182	7368	32895
183	7417	32893
184	7461	32870
185	7491	32787
186	7525	32716
187	7567	32683
188	7600	32613
189	7641	32578
190	7684	32546
191	7721	32494
192	7752	32417
193	7794	32383
194	7831	32329
195	7871	32289
196	7903	32215
197	7944	32180
198	7984	32137
199	8023	32094
200	8058	32033
201	8103	32010
202	8143	31972
203	8179	31916
204	8215	31860
205	8247	31789
206	8285	31742
207	8318	31673
208	8354	31619
209	8394	31578
210	8431	31529
211	8467	31473
212	8500	31408
213	8545	31387
214	8579	31326
215	8626	31310
216	8660	31248
217	8695	31193
218	8733	31145
219	8776	31116
220	8810	31056
221	8893	31167
222	8961	31223
223	8995	31164
224	9039	31134
225	9077	31087
226	9120	31058
227	9156	31004
228	9193	30954
229	9238	30928
230	9273	30870
231	9305	30803
232	9342	30754
233	9388	30731
234	9421	30670
235	9453	30602
236	9488	30546
237	9523	30490
238	9554	30424
239	9588	30363
240	9620	30298
241	9653	30236
242	9695	30204
243	9739	30175
244	9771	30112
245	9811	30071
246	9845	30014
247	9878	29952
248	9927	29940
249	9965	29897
250	9999	29840
251	10034	29784
252	10072	29739
253	10123	29732
254	10165	29699
255	10215	29688
256	10253	29641
257	10285	29580
258	10320	29526
259	10356	29475
260	10394	29430
261	10431	29383
262	10476	29358
263	10515	29314
264	10553	29270
265	10591	29226
266	10629	29180
267	10658	29111
268	10686	29039
269	10719	28982
270	10758	28941
271	10790	28880
272	10839	28866
273	10869	28800
274	10923	28798
275	10959	28748
276	11001	28713
277	11042	28679
278	11083	28641
279	11117	28588
280	11150	28531
281	11183	28473
282	11219	28424
283	11260	28388
284	11295	28337
285	11328	28280
286	11364	28232
287	11397	28176
288	11431	28123
289	11463	28065
290	11498	28016
291	11529	27955
292	11563	27902
293	11603	27864
294	11653	27848
295	11690	27803
296	11740	27790
297	11781	27752
298	11817	27706
299	11854	27661
300	11895	27624
301	11942	27601
302	11987	27574
303	12028	27537
304	12074	27512
305	12117	27481
306	12158	27445
307	12201	27413
308	12237	27365
309	12269	27309
310	12312	27278
311	12350	27234
312	12383	27179
313	12419	27133
314	12463	27104
315	12508	27075
316	12547	27035
317	12586	26994
318	12645	26995
319	12680	26945
320	12729	26926
321	12783	26916
322	12825	26881
323	12858	26827
324	12892	26777
325	12936	26745
326	12973	26700
327	13010	26655
328	13049	26614
329	13084	26565
330	13123	26523
331	13162	26484
332	13198	26435
333	13230	26382
334	13268	26339
335	13301	26285
336	13340	26246
337	13370	26188
338	13423	26173
339	13458	26125
340	13493	26077
341	13534	26040
342	13576	26004
343	13614	25962
344	13659	25932
345	13692	25881
346	13729	25837
347	13764	25789
348	13809	25759
349	13846	25715
350	13892	25687
351	13935	25653
352	13974	25613
353	14014	25574
354	14051	25531
355	14098	25503
356	14134	25457
357	14177	25423
358	14209	25370
359	14248	25331
360	14296	25306
361	14331	25258
362	14376	25227
363	14415	25186
364	14476	25184
365	14517	25147
366	14551	25097
367	14583	25046
368	14621	25003
369	14661	24963
370	14704	24930
371	14743	24889
372	14778	24842
373	14827	24817
374	14882	24804
375	14919	24760
376	14953	24711
377	14996	24676
378	15037	24639
379	15074	24594
380	15111	24551
381	15152	24514
382	15196	24481
383	15230	24432
384	15261	24379
385	15297	24333
386	15335	24290
387	15372	24247
388	15407	24200
389	15435	24142
390	15468	24093
391	15501	24042
392	15535	23994
393	15566	23942
394	15606	23903
395	15636	23850
396	15666	23795
397	15697	23743
398	15736	23703
399	15771	23657
400	15811	23618
401	15846	23572
402	15885	23532
403	15934	23507
404	15971	23464
405	16015	23431
406	16062	23402
407	16095	23354
408	16137	23318
409	16173	23273
410	16207	23226
411	16235	23171
412	16272	23127
413	16308	23083
414	16339	23032
415	16376	22989
416	16411	22944
417	16443	22894
418	16477	22848
419	16510	22800
420	16555	22768
421	16593	22727
422	16635	22691
423	16669	22644
424	16704	22600
425	16735	22550
426	16772	22506
427	16814	22472
428	16855	22434
429	16898	22399
430	16933	22355
431	16982	22328
432	17019	22286
433	17062	22251
434	17100	22211
435	17146	22180
436	17193	22151
437	17231	22109
438	17274	22074
439	17302	22021
440	17330	21968
441	17365	21922
442	17397	21874
443	17430	21827
444	17465	21782
445	17501	21738
446	17540	21699
447	17573	21653
448	17606	21605
449	17644	21565
450	17679	21521
451	17716	21478
452	17782	21471
453	17838	21453
454	17881	21418
455	17918	21377
456	17962	21342
457	18008	21311
458	18043	21267
459	18082	21227
460	18115	21180
461	18148	21134
462	18189	21097
463	18221	21048
464	18257	21006
465	18289	20958
466	18324	20914
467	18360	20871
468	18392	20824
469	18427	20780
470	18458	20731
471	18494	20688
472	18526	20641
473	18566	20603
474	18599	20557
475	18634	20514
476	18666	20466
477	18696	20417
478	18729	20371
479	18762	20326
480	18803	20288
481	18836	20243
482	18880	20209
483	18929	20181
484	18962	20135
485	19004	20099
486	19042	20058
487	19078	20016
488	19122	19982
489	19165	19947
490	19206	19910
491	19241	19867
492	19276	19824
493	19307	19776
494	19340	19731
495	19382	19694
496	19422	19657
497	19456	19612
498	19492	19570
499	19524	19524
500	19557	19479
501	19593	19437
502	19630	19396
503	19660	19347
504	19690	19300
505	19719	19252
506	19761	19215
507	19793	19170
508	19833	19132
509	19878	19098
510	19928	19070
511	19960	19025
512	19999	18986
513	20034	18942
514	20067	18898
515	20111	18864
516	20147	18822
517	20188	18785
518	20224	18743
519	20257	18699
520	20288	18653
521	20324	18611
522	20357	18566
523	20395	18527
524	20426	18481
525	20460	18438
526	20495	18395
527	20527	18350
528	20563	18308
529	20607	18274
530	20647	18236
531	20693	18203
532	20724	18158
533	20761	18118
534	20794	18074
535	20837	18038
536	20882	18004
537	20918	17963
538	20957	17924
539	21003	17891
540	21038	17850
541	21082	17814
542	21116	17771
543	21157	17735
544	21201	17700
545	21240	17661
546	21277	17621
547	21312	17579
548	21341	17532
549	21378	17491
550	21414	17450
551	21443	17403
552	21472	17356
553	21502	17310
554	21543	17273
555	21574	17228
556	21604	17182
557	21634	17137
558	21674	17098
559	21709	17057
560	21739	17011
561	21768	16965
562	21803	16923
563	21844	16887
564	21882	16847
565	21915	16804
566	21954	16765
567	21994	16728
568	22045	16698
569	22091	16665
570	22124	16622
571	22160	16581
572	22208	16549
573	22250	16513
574	22290	16475
575	22332	16439
576	22377	16405
577	22407	16360
578	22447	16322
579	22479	16278
580	22524	16244
581	22560	16203
582	22597	16163
583	22635	16123
584	22673	16084
585	22717	16049
586	22757	16011
587	22799	15975
588	22860	15951
589	22900	15914
590	22931	15869
591	22973	15833
592	23012	15794
593	23054	15757
594	23092	15718
595	23135	15682
596	23169	15640
597	23204	15599
598	23241	15558
599	23283	15522
600	23313	15477
601	23350	15437
602	23382	15394
603	23419	15354
604	23454	15312
605	23490	15272
606	23520	15228
607	23552	15185
608	23593	15147
609	23632	15109
610	23666	15067
611	23704	15028
612	23741	14988
613	23776	14947
614	23828	14917
615	23876	14884
616	23913	14843
617	23951	14804
618	23989	14765
619	24026	14725
620	24060	14684
621	24096	14644
622	24134	14604
623	24167	14562
624	24202	14521
625	24236	14479
626	24287	14448
627	24326	14410
628	24372	14375
629	24412	14337
630	24462	14305
631	24502	14267
632	24535	14225
633	24571	14184
634	24601	14140
635	24634	14099
636	24664	14055
637	24703	14016
638	24744	13979
639	24790	13944
640	24836	13909
641	24882	13875
642	24919	13835
643	24948	13791
644	24993	13755
645	25032	13717
646	25064	13675
647	25100	13634
648	25139	13596
649	25178	13557
650	25218	13519
651	25254	13479
652	25284	13436
653	25326	13399
654	25363	13359
655	25405	13322
656	25442	13282
657	25492	13249
658	25534	13212
659	25565	13169
660	25608	13133
661	25641	13092
662	25685	13055
663	25721	13015
664	25757	12975
665	25805	12941
666	25850	12905
667	25896	12870
668	25963	12846
669	26007	12809
670	26047	12771
671	26095	12737
672	26136	12699
673	26179	12662
674	26243	12635
675	26281	12596
676	26325	12559
677	26365	12521
678	26400	12480
679	26444	12444
680	26503	12415
681	26544	12377
682	26585	12339
683	26621	12298
684	26657	12258
685	26690	12216
686	26737	12181
687	26795	12151
688	26870	12128
689	26923	12096
690	26966	12058
691	26997	12016
692	27040	11978
693	27080	11940
694	27121	11902
695	27159	11862
696	27188	11819
697	27219	11776
698	27249	11733
699	27285	11693
700	27321	11653
701	27356	11612
702	27395	11573
703	27430	11533
704	27459	11490
705	27490	11447
706	27522	11406
707	27553	11364
708	27592	11324
709	27636	11287
710	27668	11246
711	27701	11205
712	27735	11164
713	27773	11124
714	27810	11085
715	27860	11050
716	27905	11014
717	27944	10975
718	27982	10936
719	28025	10898
720	28061	10858
721	28100	10819
722	28131	10777
723	28163	10736
724	28201	10697
725	28236	10656
726	28270	10615
727	28308	10576
728	28344	10536
729	28381	10497
730	28420	10458
731	28457	10419
732	28495	10379
733	28536	10341
734	28580	10304
735	28619	10265
736	28662	10228
737	28698	10188
738	28769	10160
739	28817	10124
740	28857	10086
741	28888	10044
742	28927	10005
743	28971	9968
744	29012	9930
745	29043	9888
746	29084	9850
747	29115	9808
748	29151	9768
749	29190	9730
750	29228	9690
751	29263	9650
752	29298	9610
753	29330	9569
754	29362	9528
755	29401	9489
756	29438	9449
757	29472	9409
758	29502	9367
759	29532	9326
760	29573	9287
761	29611	9248
762	29656	9211
763	29688	9170
764	29720	9129
765	29758	9090
766	29799	9052
767	29835	9012
768	29878	8975
769	29931	8940
770	29977	8903
771	30014	8864
772	30045	8823
773	30083	8783
774	30128	8746
775	30164	8707
776	30202	8668
777	30230	8626
778	30261	8585
779	30295	8544
780	30331	8505
781	30362	8464
782	30393	8423
783	30426	8382
784	30456	8341
785	30490	8301
786	30528	8262
787	30561	8222
788	30592	8181
789	30622	8140
790	30652	8099
791	30684	8058
792	30720	8019
793	30774	7984
794	30816	7946
795	30861	7909
796	30900	7870
797	30933	7830
798	30974	7792
799	31008	7752
800	31042	7712
801	31074	7671
802	31107	7631
803	31141	7591
804	31174	7551
805	31207	7511
806	31235	7470
807	31276	7431
808	31312	7392
809	31341	7351
810	31369	7310
811	31399	7269
812	31431	7229
813	31466	7190
814	31498	7150
815	31531	7110
816	31564	7070
817	31598	7030
818	31633	6991
819	31665	6951
820	31708	6913
821	31748	6874
822	31782	6835
823	31819	6796
824	31861	6758
825	31897	6719
826	31925	6678
827	31967	6640
828	32007	6602
829	32046	6563
830	32077	6523
831	32114	6484
832	32148	6445
833	32179	6405
834	32214	6365
835	32249	6326
836	32280	6286
837	32314	6246
838	32345	6206
839	32379	6167
840	32409	6127
841	32441	6087
842	32473	6047
843	32508	6008
844	32536	5968
845	32572	5929
846	32605	5889
847	32632	5849
848	32664	5809
849	32705	5771
850	32741	5732
851	32776	5693
852	32808	5653
853	32839	5614
854	32880	5576
855	32918	5537
856	32955	5498
857	32990	5460
858	33025	5421
859	33069	5383
860	33102	5344
861	33134	5304
862	33166	5265
863	33198	5225
864	33226	5185
865	33254	5145
866	33287	5106
867	33315	5066
868	33342	5026
869	33380	4987
870	33416	4949
871	33445	4909
872	33475	4869
873	33503	4830
874	33533	4790
875	33568	4751
876	33604	4713
877	33643	4674
878	33680	4636
879	33722	4598
880	33765	4560
881	33800	4522
882	33839	4483
883	33884	4446
884	33921	4407
885	33962	4369
886	34001	4331
887	34040	4293
888	34082	4255
889	34112	4216
890	34146	4177
891	34186	4139
892	34221	4100
893	34266	4062
894	34303	4024
895	34343	3986
896	34379	3947
897	34410	3908
898	34442	3869
899	34482	3831
900	34531	3794
901	34570	3755
902	34607	3717
903	34647	3679
904	34700	3642
905	34743	3604
906	34782	3566
907	34836	3529
908	34880	3491
909	34927	3454
910	34966	3416
911	35002	3377
912	35041	3339
913	35076	3300
914	35114	3261
915	35148	3223
916	35182	3184
917	35220	3146
918	35254	3107
919	35296	3069
920	35325	3030
921	35362	2991
922	35394	2952
923	35431	2914
924	35478	2876
925	35518	2838
926	35560	2800
927	35651	2766
928	35691	2727
929	35737	2689
930	35772	2651
931	35808	2612
932	35849	2574
933	35889	2536
934	35924	2497
935	35954	2458
936	35988	2419
937	36018	2380
938	36051	2342
939	36083	2303
940	36114	2264
941	36142	2225
942	36179	2186
943	36219	2148
944	36260	2110
945	36302	2072
946	36335	2033
947	36374	1995
948	36412	1956
949	36443	1918
950	36473	1879
951	36507	1840
952	36546	1802
953	36579	1763
954	36619	1725
955	36656	1687
956	36696	1648
957	36741	1610
958	36782	1572
959	36810	1533
960	36847	1495
961	36891	1457
962	36933	1419
963	36970	1380
964	37022	1342
965	37061	1304
966	37102	1266
967	37139	1227
968	37175	1189
969	37214	1150
970	37252	1112
971	37293	1074
972	37326	1035
973	37359	997
974	37388	958
975	37416	920
976	37445	881
977	37479	843
978	37511	804
979	37548	766
980	37582	727
981	37614	689
982	37647	651
983	37689	612
984	37727	574
985	37764	536
986	37813	498
987	37854	459
988	37889	421
989	37925	383
990	37957	344
991	37990	306
992	38019	268
993	38051	229
994	38089	191
995	38118	153
996	38149	114
997	38180	76
998	38216	38
999	38267	0
