iter	MultiClass
0	1.516400984
1	1.291342408
2	1.159183191
3	1.086295182
4	1.00918232
5	0.9547497137
6	0.9185292028
7	0.87593094
8	0.8486017651
9	0.8157898763
10	0.7875565765
11	0.7596281507
12	0.7375310288
13	0.7112726838
14	0.692771726
15	0.6722807863
16	0.6628871528
17	0.6477287821
18	0.6334385361
19	0.6222514222
20	0.6067633452
21	0.5935643845
22	0.5828892509
23	0.5755625949
24	0.5703311899
25	0.559414349
26	0.5486134784
27	0.5386739098
28	0.5261012824
29	0.5190892897
30	0.5111417124
31	0.5038619749
32	0.4962310702
33	0.4860868885
34	0.4777279236
35	0.4708923652
36	0.4667919606
37	0.4612903308
38	0.4565624907
39	0.4520631343
40	0.4465889259
41	0.4418484207
42	0.4376487853
43	0.4342764257
44	0.4301650767
45	0.4238596553
46	0.4200979811
47	0.4136119588
48	0.4095289134
49	0.4044008251
50	0.3993399
51	0.3923258013
52	0.3868747698
53	0.3836988395
54	0.3801558244
55	0.3759560646
56	0.3724239933
57	0.3681882928
58	0.3650052158
59	0.3611915496
60	0.3582702141
61	0.3546796261
62	0.3524402011
63	0.347774778
64	0.3437372331
65	0.3420368418
66	0.340046395
67	0.336758968
68	0.3344453865
69	0.3329952327
70	0.3310996119
71	0.3294195341
72	0.3264124109
73	0.3222503847
74	0.3197909219
75	0.316328826
76	0.3140759759
77	0.3118145698
78	0.3101707868
79	0.3072442277
80	0.3045715242
81	0.3033667711
82	0.3014622635
83	0.2994376885
84	0.2984845413
85	0.2972818407
86	0.2945169681
87	0.2914231182
88	0.2893873269
89	0.2866039415
90	0.2846859396
91	0.282593122
92	0.2807437216
93	0.2790207228
94	0.2776664035
95	0.2756791275
96	0.2736063796
97	0.2716028043
98	0.2701711996
99	0.2676753517
