iter	Passed	Remaining
0	1205	119325
1	2415	118377
2	3661	118386
3	4996	119921
4	6253	118821
5	7469	117027
6	8701	115599
7	9904	113896
8	11076	111992
9	12271	110446
10	13469	108977
11	14653	107462
12	15861	106148
13	17077	104904
14	18292	103659
15	19613	102968
16	20816	101631
17	22037	100391
18	23280	99248
19	24473	97894
20	25674	96586
21	26892	95347
22	28129	94172
23	29282	92727
24	30451	91355
25	31632	90030
26	32841	88794
27	34065	87597
28	35237	86270
29	36374	84873
30	37521	83514
31	38680	82195
32	39953	81118
33	41216	80009
34	42339	78631
35	43493	77321
36	44612	75961
37	45754	74651
38	46864	73301
39	47993	71989
40	49148	70726
41	50414	69620
42	51522	68297
43	52648	67007
44	53759	65706
45	54973	64533
46	56309	63497
47	57451	62238
48	58699	61095
49	59868	59868
50	61025	58632
51	62311	57518
52	63464	56279
53	64673	55092
54	65794	53831
55	66951	52604
56	68145	51408
57	69333	50206
58	70480	48978
59	71611	47741
60	72723	46495
61	73855	45266
62	74958	44022
63	76097	42804
64	77245	41593
65	78358	40366
66	79488	39151
67	80634	37945
68	81745	36726
69	82870	35516
70	84001	34310
71	85118	33101
72	86287	31914
73	87425	30717
74	88558	29519
75	89679	28319
76	90815	27126
77	91931	25929
78	93027	24728
79	94162	23540
80	95271	22347
81	96365	21153
82	97475	19964
83	98608	18782
84	99713	17596
85	100857	16418
86	101954	15234
87	103070	14055
88	104212	12880
89	105320	11702
90	106433	10526
91	107529	9350
92	108655	8178
93	109804	7008
94	110926	5838
95	112053	4668
96	113187	3500
97	114312	2332
98	115397	1165
99	116520	0
