,0
0,Streptococcus_pyogenes
1,Streptococcus_pyogenes
2,Enterococcus_hirae
3,Bacteroides_fragilis
4,Streptococcus_pneumoniae
5,Enterococcus_hirae
6,Klebsiella_pneumoniae
7,Bacteroides_fragilis
8,Escherichia_fergusonii
9,Staphylococcus_aureus
10,Enterococcus_hirae
11,Streptococcus_pyogenes
12,Streptococcus_pyogenes
13,Escherichia_fergusonii
14,Streptococcus_pyogenes
15,Streptococcus_pneumoniae
16,Streptococcus_pneumoniae
17,Bacteroides_fragilis
18,Enterococcus_hirae
19,Streptococcus_pyogenes
20,Escherichia_fergusonii
21,Escherichia_coli
22,Escherichia_fergusonii
23,Bacteroides_fragilis
24,Streptococcus_pneumoniae
25,Streptococcus_pneumoniae
26,Enterococcus_hirae
27,Escherichia_fergusonii
28,Bacteroides_fragilis
29,Streptococcus_pneumoniae
30,Bacteroides_fragilis
31,Bacteroides_fragilis
32,Streptococcus_pneumoniae
33,Streptococcus_pyogenes
34,Escherichia_coli
35,Bacteroides_fragilis
36,Salmonella_enterica
37,Streptococcus_pneumoniae
38,Escherichia_coli
39,Escherichia_coli
40,Escherichia_fergusonii
41,Enterococcus_hirae
42,Escherichia_coli
43,Streptococcus_pneumoniae
44,Streptococcus_pneumoniae
45,Escherichia_coli
46,Enterococcus_hirae
47,Salmonella_enterica
48,Salmonella_enterica
49,Enterococcus_hirae
50,Salmonella_enterica
51,Escherichia_coli
52,Enterococcus_hirae
53,Enterococcus_hirae
54,Escherichia_fergusonii
55,Streptococcus_pyogenes
56,Bacteroides_fragilis
57,Enterococcus_hirae
58,Streptococcus_pyogenes
59,Escherichia_fergusonii
60,Campylobacter_jejuni
61,Escherichia_coli
62,Streptococcus_pyogenes
63,Streptococcus_pneumoniae
64,Streptococcus_pneumoniae
65,Escherichia_fergusonii
66,Escherichia_coli
67,Streptococcus_pyogenes
68,Streptococcus_pyogenes
69,Escherichia_fergusonii
70,Escherichia_coli
71,Streptococcus_pyogenes
72,Escherichia_coli
73,Streptococcus_pyogenes
74,Streptococcus_pyogenes
75,Streptococcus_pneumoniae
76,Salmonella_enterica
77,Streptococcus_pyogenes
78,Streptococcus_pyogenes
79,Streptococcus_pyogenes
80,Streptococcus_pneumoniae
81,Enterococcus_hirae
82,Enterococcus_hirae
83,Escherichia_coli
84,Klebsiella_pneumoniae
85,Escherichia_coli
86,Escherichia_coli
87,Bacteroides_fragilis
88,Enterococcus_hirae
89,Enterococcus_hirae
90,Streptococcus_pneumoniae
91,Streptococcus_pyogenes
92,Streptococcus_pneumoniae
93,Enterococcus_hirae
94,Salmonella_enterica
95,Streptococcus_pyogenes
96,Enterococcus_hirae
97,Staphylococcus_aureus
98,Escherichia_coli
99,Streptococcus_pneumoniae
100,Escherichia_fergusonii
101,Streptococcus_pyogenes
102,Escherichia_fergusonii
103,Enterococcus_hirae
104,Enterococcus_hirae
105,Streptococcus_pneumoniae
106,Streptococcus_pneumoniae
107,Streptococcus_pneumoniae
108,Escherichia_fergusonii
109,Escherichia_coli
110,Enterococcus_hirae
111,Salmonella_enterica
112,Salmonella_enterica
113,Salmonella_enterica
114,Klebsiella_pneumoniae
115,Escherichia_fergusonii
116,Streptococcus_pyogenes
117,Bacteroides_fragilis
118,Streptococcus_pyogenes
119,Escherichia_coli
120,Enterococcus_hirae
121,Escherichia_fergusonii
122,Escherichia_fergusonii
123,Escherichia_fergusonii
124,Bacteroides_fragilis
125,Enterococcus_hirae
126,Bacteroides_fragilis
127,Escherichia_coli
128,Bacteroides_fragilis
129,Bacteroides_fragilis
130,Bacteroides_fragilis
131,Streptococcus_pyogenes
132,Bacteroides_fragilis
133,Escherichia_coli
134,Streptococcus_pyogenes
135,Streptococcus_pneumoniae
136,Streptococcus_pyogenes
137,Streptococcus_pneumoniae
138,Escherichia_fergusonii
139,Salmonella_enterica
140,Streptococcus_pyogenes
141,Salmonella_enterica
142,Escherichia_fergusonii
143,Streptococcus_pneumoniae
144,Escherichia_fergusonii
145,Salmonella_enterica
146,Salmonella_enterica
147,Salmonella_enterica
148,Bacteroides_fragilis
149,Salmonella_enterica
150,Enterococcus_hirae
151,Salmonella_enterica
152,Bacteroides_fragilis
153,Campylobacter_jejuni
154,Campylobacter_jejuni
155,Streptococcus_pneumoniae
156,Streptococcus_pneumoniae
157,Streptococcus_pyogenes
158,Escherichia_coli
159,Escherichia_coli
160,Streptococcus_pyogenes
161,Escherichia_coli
162,Streptococcus_pneumoniae
163,Escherichia_fergusonii
164,Salmonella_enterica
165,Salmonella_enterica
166,Streptococcus_pyogenes
167,Enterococcus_hirae
168,Campylobacter_jejuni
169,Streptococcus_pyogenes
170,Staphylococcus_aureus
171,Enterococcus_hirae
172,Escherichia_fergusonii
173,Klebsiella_pneumoniae
174,Salmonella_enterica
175,Enterococcus_hirae
176,Escherichia_fergusonii
177,Streptococcus_pyogenes
178,Enterococcus_hirae
179,Escherichia_fergusonii
180,Streptococcus_pneumoniae
181,Streptococcus_pneumoniae
182,Escherichia_fergusonii
183,Escherichia_fergusonii
184,Escherichia_coli
185,Escherichia_fergusonii
186,Streptococcus_pyogenes
187,Escherichia_coli
188,Streptococcus_pyogenes
189,Bacteroides_fragilis
190,Streptococcus_pyogenes
191,Streptococcus_pneumoniae
192,Streptococcus_pyogenes
193,Salmonella_enterica
194,Enterococcus_hirae
195,Streptococcus_pneumoniae
196,Streptococcus_pyogenes
197,Salmonella_enterica
198,Escherichia_coli
199,Enterococcus_hirae
200,Enterococcus_hirae
201,Enterococcus_hirae
202,Escherichia_coli
203,Escherichia_fergusonii
204,Escherichia_coli
205,Streptococcus_pyogenes
206,Bacteroides_fragilis
207,Escherichia_coli
208,Streptococcus_pneumoniae
209,Bacteroides_fragilis
210,Streptococcus_pneumoniae
211,Escherichia_fergusonii
212,Streptococcus_pyogenes
213,Bacteroides_fragilis
214,Streptococcus_pyogenes
215,Escherichia_coli
216,Escherichia_coli
217,Streptococcus_pyogenes
218,Campylobacter_jejuni
219,Streptococcus_pyogenes
220,Escherichia_coli
221,Streptococcus_pneumoniae
222,Salmonella_enterica
223,Streptococcus_pyogenes
224,Escherichia_coli
225,Streptococcus_pneumoniae
226,Bacteroides_fragilis
227,Bacteroides_fragilis
228,Escherichia_fergusonii
229,Escherichia_coli
230,Enterococcus_hirae
231,Enterococcus_hirae
232,Enterococcus_hirae
233,Streptococcus_pneumoniae
234,Bacteroides_fragilis
235,Streptococcus_pyogenes
236,Enterococcus_hirae
237,Escherichia_fergusonii
238,Streptococcus_pyogenes
239,Escherichia_fergusonii
240,Streptococcus_pneumoniae
241,Streptococcus_pyogenes
242,Bacteroides_fragilis
